Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
KEGG pathways- PWY file,CPB-815,38001,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,22/12/2022 05:39,26/01/2023 15:34,12/09/2023 13:19,,26/01/2023 00:00,gala,liorr,,,,,,,,,;25/Jan/23 12:54 PM;liorr;14400,;26/Jan/23 3:33 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,86400,43200,43200,50%,86400,43200,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-816,,,CPB-814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/Dec/22 5:41 AM;gala;Pseudomonas_fluorescens_16875BG_67400ASM_20v1.kegg_pathways;https://jira.prod.evogene.host/secure/attachment/39000/Pseudomonas_fluorescens_16875BG_67400ASM_20v1.kegg_pathways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00ypb:,01/01/2023
KEGG pathways- tests,CPB-816,38002,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,22/12/2022 05:42,26/01/2023 15:35,12/09/2023 13:19,,29/01/2023 00:00,gala,liorr,,,,,,,,,;23/Jan/23 4:54 PM;liorr;14400,;24/Jan/23 11:20 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-817,,,CPB-815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00ypj:,01/01/2023
Evocogs- code review,CPB-808,37923,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:42,29/01/2023 07:19,12/09/2023 13:19,,29/01/2023 00:00,gala,liorr,,,,,,,,,;29/Jan/23 7:18 AM;liorr;3600,,,,,,,,,,,,,,,,,,,,,,,,,28800,25200,3600,12%,28800,25200,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-819,CPB-809,,CPB-807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00ynr:,01/01/2023
DAG debug,CPB-791,37905,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 09:19,15/02/2023 11:58,12/09/2023 13:19,,07/02/2023 00:00,gala,liorr,,,,,,,,,;01/Feb/23 12:21 PM;liorr;28800,;02/Feb/23 1:12 PM;liorr;28800,;06/Feb/23 6:10 AM;liorr;28800,;14/Feb/23 12:23 PM;liorr;14400,;15/Feb/23 11:58 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,,86400,0,115200,133%,86400,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P276 - CTO – Architecture (CPB),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yjr:,01/02/2023
KEGG pathways-KO QA,CPB-813,37928,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:53,02/03/2023 17:12,12/09/2023 13:19,,18/01/2023 00:00,elanitec,gala,liorr,,,,,,,,;16/Jan/23 2:52 PM;liorr;14400,;17/Jan/23 12:54 PM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-814,,,CPB-812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yov:,01/01/2023
Update of the acc2name pipeline,CPB-968,46806,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,iliab,iliab,01/05/2023 15:00,18/05/2023 10:31,12/09/2023 13:19,,12/05/2023 00:00,iliab,liorr,,,,,,,,,;01/May/23 5:17 PM;liorr;28800,;03/May/23 7:01 AM;liorr;28800,;03/May/23 3:10 PM;liorr;28800,;07/May/23 9:04 AM;liorr;14400,;17/May/23 2:59 PM;liorr;7200,;18/May/23 10:31 AM;liorr;7200,,,,,,,,,,,,,,,,,,,,86400,0,115200,133%,86400,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i0130f:,01/05/2023
Genome page main UI -  Droplist AntiSmash BI support,MIC-758,41214,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,larisar,larisar,05/02/2023 14:57,21/05/2023 14:32,12/09/2023 13:19,,30/05/2023 00:00,elanitec,larisar,liorr,,,,,,,,;16/May/23 12:39 PM;liorr;7200,,,,,,,,,,,,,,,,,,,,,,,,,57600,50400,7200,12%,57600,50400,7200,,,,,,,,,,,,MIC-759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Operational Task,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i01093:,01/05/2023
CLONE - Creating a production for public genomes (ICL project),CI-11,46400,,Task,Closed,CI,CPBC Internal,software,drorf,,,Medium,,liorr,elanitec,elanitec,23/04/2023 05:15,23/05/2023 08:32,12/09/2023 13:19,,18/05/2023 00:00,anatm,anatol,elanitec,iliab,Iliaz,itair,larisar,liorr,sharonl,,;07/May/23 9:03 AM;liorr;14400,;08/May/23 9:34 AM;liorr;14400,;08/May/23 12:54 PM;liorr;43200,;09/May/23 2:40 PM;liorr;14400,;11/May/23 11:43 AM;liorr;14400,;14/May/23 9:20 AM;liorr;14400,;14/May/23 11:32 AM;liorr;14400,;15/May/23 9:29 AM;liorr;14400,,,,,,,,,,,,,,,,,,144000,7200,144000,100%,144000,7200,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAV-470,,,,MIC-857,MIC-856,,,,,,,,,,,,,,,,,,,,,,,,,,16/May/23 11:04 AM;anatol;1684139258869_errors.txt;https://jira.prod.evogene.host/secure/attachment/49104/1684139258869_errors.txt,16/May/23 11:05 AM;anatol;Corbac Job 1684139258869_1.msg;https://jira.prod.evogene.host/secure/attachment/49106/Corbac+Job+1684139258869_1.msg,16/May/23 11:05 AM;anatol;Corbac Job 1684139258869.msg;https://jira.prod.evogene.host/secure/attachment/49105/Corbac+Job+1684139258869.msg,15/May/23 6:53 AM;liorr;failed_samples_busco.xlsx;https://jira.prod.evogene.host/secure/attachment/49004/failed_samples_busco.xlsx,18/May/23 6:07 PM;liorr;LAV475_production_names.txt;https://jira.prod.evogene.host/secure/attachment/49324/LAV475_production_names.txt,16/May/23 11:05 AM;anatol;Productions_Errors_corbac_busco_less_than_75.csv;https://jira.prod.evogene.host/secure/attachment/49107/Productions_Errors_corbac_busco_less_than_75.csv,03/May/23 1:42 PM;liorr;samples_fixed.xlsx;https://jira.prod.evogene.host/secure/attachment/48107/samples_fixed.xlsx,15/May/23 6:53 AM;liorr;suppressed_ncbi.txt;https://jira.prod.evogene.host/secure/attachment/49003/suppressed_ncbi.txt,23/Apr/23 5:15 AM;elanitec;Table_2 production.XLSX;https://jira.prod.evogene.host/secure/attachment/47400/Table_2+production.XLSX,,,,,,,,,,,,,,,,,,,,,Job,Research,,P82 - ICL (Lavie 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i00lak:,01/05/2023
Genome page main UI - Droplist Annotations: TANDA-fasta36 BI support,MIC-766,41222,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,larisar,larisar,05/02/2023 15:15,29/05/2023 12:45,12/09/2023 13:19,,24/05/2023 00:00,elanitec,larisar,liorr,,,,,,,,;18/May/23 2:45 PM;liorr;7200,;23/May/23 9:05 AM;liorr;14400,;24/May/23 1:19 PM;liorr;7200,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,,,,,,,,,,,,MIC-767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Operational Task,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i00lam:i,01/05/2023
"BACUM second DAG debugging (""bridge"" between BACTANA1 and BACUM)",CPB-954,46208,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,iliab,iliab,19/04/2023 18:06,30/05/2023 10:53,12/09/2023 13:19,,31/05/2023 00:00,iliab,liorr,,,,,,,,,;16/May/23 12:40 PM;liorr;7200,;17/May/23 2:59 PM;liorr;21600,;24/May/23 1:19 PM;liorr;7200,;25/May/23 2:08 PM;liorr;7200,;28/May/23 12:50 PM;liorr;14400,;28/May/23 2:35 PM;liorr;7200,;30/May/23 7:32 AM;liorr;7200,;30/May/23 7:33 AM;liorr;7200,;30/May/23 7:33 AM;liorr;7200,,,,,,,,,,,,,,,,,86400,14400,86400,100%,86400,14400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i00lam:9,01/05/2023
Update acc2names.py,CPB-977,48405,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,iliab,iliab,21/05/2023 14:42,05/06/2023 07:53,12/09/2023 13:19,,21/06/2023 00:00,iliab,liorr,,,,,,,,,;31/May/23 5:21 AM;liorr;28800,;31/May/23 3:47 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/23 2:35 PM;iliab;clip_image002.jpg;https://jira.prod.evogene.host/secure/attachment/49504/clip_image002.jpg,21/May/23 2:35 PM;iliab;Untitled picture.png;https://jira.prod.evogene.host/secure/attachment/49503/Untitled+picture.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i013db:,01/05/2023
strainDB- statistics,MIC-806,42806,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,gala,gala,24/02/2023 07:16,15/06/2023 10:46,12/09/2023 13:19,,19/04/2023 00:00,elanitec,gala,larisar,liorr,,,,,,,;24/Apr/23 4:34 PM;liorr;14400,;25/Apr/23 10:38 AM;liorr;14400,;30/Apr/23 9:04 AM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-802,,,,,,,,,,,MIC-832,,,,,,,,,,,,,,,,,,,,30/Apr/23 9:04 AM;liorr;failed_detailed;https://jira.prod.evogene.host/secure/attachment/47802/failed_detailed,30/Apr/23 9:04 AM;liorr;ok_detailed;https://jira.prod.evogene.host/secure/attachment/47803/ok_detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010yv:,01/04/2023
BACUM to prod dir,CPB-896,42409,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,20/02/2023 16:16,15/06/2023 10:47,12/09/2023 13:19,,03/04/2023 00:00,gala,liorr,,,,,,,,,;10/Apr/23 7:27 AM;liorr;28800,;10/Apr/23 11:55 AM;liorr;14400,;16/Apr/23 2:13 PM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-897,,,CPB-895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010pr:,01/04/2023
StrainDB - runannotation for 266 productions,MIC-820,46200,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,iliab,iliab,19/04/2023 06:56,15/06/2023 10:46,12/09/2023 13:19,,23/04/2023 00:00,iliab,liorr,,,,,,,,,;19/Apr/23 9:52 AM;liorr;14400,;19/Apr/23 3:03 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,14400,43200,75%,57600,14400,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Apr/23 10:20 AM;liorr;old_productions_acc2names;https://jira.prod.evogene.host/secure/attachment/47201/old_productions_acc2names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i012hb:,01/04/2023
strainDB- runannotation,MIC-802,42804,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,gala,gala,24/02/2023 07:15,15/06/2023 10:46,12/09/2023 13:19,,10/04/2023 00:00,elanitec,gala,iliab,Iliaz,larisar,liorr,,,,,;04/Apr/23 12:04 PM;michala;28800,;10/Apr/23 2:48 PM;liorr;14400,;12/Apr/23 1:22 PM;liorr;14400,;13/Apr/23 12:20 PM;liorr;28800,;16/Apr/23 12:13 PM;liorr;14400,;17/Apr/23 7:42 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,115200,0,115200,100%,115200,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-806,,,MIC-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/Apr/23 11:00 AM;iliab;bracket_accessions_acc2name_20_total_15_of_8000;https://jira.prod.evogene.host/secure/attachment/46403/bracket_accessions_acc2name_20_total_15_of_8000,04/Apr/23 12:54 PM;iliab;empty_genome_gcf_list;https://jira.prod.evogene.host/secure/attachment/46409/empty_genome_gcf_list,04/Apr/23 12:54 PM;iliab;empty_genome_gcf_list-1;https://jira.prod.evogene.host/secure/attachment/46408/empty_genome_gcf_list-1,04/Apr/23 11:02 AM;iliab;failed_gcfs;https://jira.prod.evogene.host/secure/attachment/46404/failed_gcfs,04/Apr/23 11:03 AM;iliab;image-2023-04-04-14-03-44-677.png;https://jira.prod.evogene.host/secure/attachment/46406/image-2023-04-04-14-03-44-677.png,04/Apr/23 11:03 AM;iliab;kraken_gcfs;https://jira.prod.evogene.host/secure/attachment/46405/kraken_gcfs,04/Apr/23 10:59 AM;iliab;slashes_accessions_acc2name_total_13_of_8000;https://jira.prod.evogene.host/secure/attachment/46402/slashes_accessions_acc2name_total_13_of_8000,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P273 - Product- Upkeep MB  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010yf:,01/04/2023
strainDB- runannotation load,MIC-804,42807,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,gala,gala,24/02/2023 07:16,15/06/2023 10:46,12/09/2023 13:19,,17/04/2023 00:00,elanitec,gala,larisar,liorr,,,,,,,;22/Apr/23 10:53 AM;liorr;14400,;24/Apr/23 7:08 AM;liorr;28800,;24/Apr/23 11:28 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-805,,,MIC-803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Apr/23 11:30 AM;liorr;production_created_list.xlsx;https://jira.prod.evogene.host/secure/attachment/47504/production_created_list.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P273 - Product- Upkeep MB  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010z3:,01/04/2023
BACUM- DAG- April,CPB-948,45200,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,01/04/2023 09:49,15/06/2023 10:47,12/09/2023 13:19,,03/04/2023 00:00,gala,liorr,,,,,,,,,;02/Apr/23 3:13 PM;liorr;28800,;03/Apr/23 3:25 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-949,,,CPB-917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/Apr/23 3:25 PM;liorr;image-2023-04-03-18-23-58-617.png;https://jira.prod.evogene.host/secure/attachment/46307/image-2023-04-03-18-23-58-617.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i012an:,01/04/2023
BACUM DAG (second part) - April,CPB-950,45900,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,iliab,iliab,16/04/2023 09:16,15/06/2023 10:46,12/09/2023 13:19,,27/04/2023 00:00,iliab,liorr,,,,,,,,,;17/Apr/23 2:21 PM;liorr;14400,;18/Apr/23 8:29 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Apr/23 5:44 AM;liorr;image-2023-04-20-08-44-08-123.png;https://jira.prod.evogene.host/secure/attachment/47302/image-2023-04-20-08-44-08-123.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i012fj:,01/04/2023
BACUM- QA,CPB-915,42810,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,24/02/2023 07:59,15/06/2023 10:51,12/09/2023 13:19,,22/03/2023 00:00,gala,liorr,,,,,,,,,;22/Mar/23 2:59 PM;liorr;7200,;23/Mar/23 3:31 PM;liorr;7200,;27/Mar/23 5:36 AM;liorr;7200,;28/Mar/23 7:40 AM;liorr;7200,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-917,CPB-916,,CPB-914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Mar/23 7:44 AM;liorr;OLD_out.parents_splits.txt;https://jira.prod.evogene.host/secure/attachment/45904/OLD_out.parents_splits.txt,28/Mar/23 7:44 AM;liorr;OLD_out.summary_report;https://jira.prod.evogene.host/secure/attachment/45905/OLD_out.summary_report,28/Mar/23 7:42 AM;liorr;out.parents_splits.txt;https://jira.prod.evogene.host/secure/attachment/45903/out.parents_splits.txt,28/Mar/23 7:42 AM;liorr;out.summary_report;https://jira.prod.evogene.host/secure/attachment/45902/out.summary_report,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010zr:,01/03/2023
strainDB- runannotation,MIC-800,42801,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,gala,gala,24/02/2023 07:10,15/06/2023 10:51,12/09/2023 13:19,,29/03/2023 00:00,elanitec,gala,larisar,liorr,,,,,,,;14/Mar/23 4:00 PM;liorr;7200,;15/Mar/23 2:01 PM;liorr;14400,;16/Mar/23 5:09 PM;liorr;21600,;19/Mar/23 5:14 PM;liorr;7200,;20/Mar/23 4:21 PM;liorr;7200,;20/Mar/23 4:22 PM;liorr;7200,;21/Mar/23 3:10 PM;liorr;14400,;22/Mar/23 2:59 PM;liorr;14400,;23/Mar/23 3:31 PM;liorr;14400,;27/Mar/23 5:36 AM;liorr;7200,,,,,,,,,,,,,,,,115200,7200,115200,100%,115200,7200,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-802,MIC-801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P273 - Product- Upkeep MB  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010xr:,01/03/2023
BACUM- DAG,CPB-917,42812,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,24/02/2023 08:05,15/06/2023 10:51,12/09/2023 13:19,,27/03/2023 00:00,gala,liorr,,,,,,,,,;30/Mar/23 10:32 AM;liorr;28800,;30/Mar/23 2:22 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-948,,,CPB-915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Mar/23 2:22 PM;liorr;image-2023-03-30-17-21-26-481.png;https://jira.prod.evogene.host/secure/attachment/46110/image-2023-03-30-17-21-26-481.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i01107:,01/03/2023
